aX,aY,aZ,gX,gY,gZ,Angle1,Angle2,Angle3,Angle4,Angle5
0.686,0.041,0.021,-119.324,13.062,20.813,3.0,9.0,14.0,30.0,5.0
0.726,0.114,-0.186,-85.571,13.977,-7.324,4.0,10.0,13.0,31.0,5.0
0.729,0.129,-0.233,-35.767,3.357,-42.908,4.0,10.0,14.0,33.0,3.0
0.718,0.124,-0.202,-3.296,-13.367,-66.956,4.0,9.0,13.0,32.0,4.0
0.714,0.108,-0.136,2.319,-19.470,-74.097,4.0,9.0,14.0,32.0,3.0
0.734,0.116,-0.115,-6.042,-20.142,-76.294,4.0,9.0,13.0,31.0,3.0
0.830,0.140,-0.107,-20.447,-11.230,-75.623,4.0,9.0,13.0,32.0,4.0
0.879,0.151,-0.121,-20.569,-6.836,-75.989,4.0,9.0,14.0,32.0,3.0
0.966,0.123,-0.146,-9.338,1.526,-68.359,4.0,10.0,14.0,31.0,4.0
1.091,0.053,-0.138,-3.662,9.216,-61.401,4.0,9.0,14.0,31.0,4.0
1.233,-0.026,-0.078,3.601,22.766,-45.593,4.0,9.0,13.0,31.0,6.0
1.249,-0.070,-0.070,1.526,22.461,-30.884,4.0,9.0,14.0,32.0,3.0
1.221,-0.083,-0.081,-1.892,21.362,-18.433,4.0,9.0,13.0,32.0,4.0
1.214,-0.104,-0.086,3.540,22.522,-10.437,4.0,9.0,14.0,32.0,4.0
1.262,-0.148,-0.083,7.874,18.921,-7.202,4.0,10.0,13.0,33.0,3.0
1.239,-0.169,-0.119,14.648,8.240,-1.465,5.0,10.0,13.0,32.0,4.0
1.221,-0.173,-0.122,18.372,4.944,5.554,3.0,8.0,14.0,32.0,3.0
1.200,-0.171,-0.123,20.325,4.700,13.123,3.0,10.0,13.0,32.0,4.0
1.143,-0.169,-0.119,24.841,8.911,19.714,4.0,10.0,14.0,32.0,3.0
1.157,-0.206,-0.077,25.940,10.376,22.644,4.0,8.0,14.0,31.0,3.0
1.174,-0.218,-0.059,23.987,5.432,25.146,3.0,9.0,13.0,34.0,3.0
1.174,-0.220,-0.059,21.362,-6.226,24.048,4.0,9.0,14.0,30.0,4.0
1.159,-0.209,-0.078,19.775,-12.085,24.231,4.0,9.0,14.0,32.0,4.0
1.113,-0.187,-0.100,16.418,-20.874,27.405,3.0,9.0,15.0,31.0,3.0
1.091,-0.176,-0.105,15.930,-20.447,31.677,3.0,9.0,14.0,32.0,3.0
1.065,-0.172,-0.096,18.982,-15.076,35.339,3.0,10.0,13.0,34.0,3.0
1.083,-0.186,-0.066,20.020,-12.268,37.537,4.0,9.0,14.0,31.0,3.0
1.109,-0.198,-0.053,14.404,-15.991,39.368,4.0,9.0,13.0,33.0,4.0
1.088,-0.179,-0.063,9.766,-18.799,40.588,4.0,9.0,14.0,30.0,4.0
1.055,-0.161,-0.063,0.671,-21.912,43.518,4.0,9.0,13.0,31.0,4.0
1.021,-0.140,-0.054,-4.272,-20.874,44.983,3.0,9.0,13.0,31.0,5.0
1.011,-0.127,-0.043,-0.305,-17.639,44.434,3.0,9.0,14.0,33.0,3.0
0.994,-0.112,-0.005,3.418,-16.663,44.617,4.0,9.0,13.0,31.0,4.0
0.962,-0.106,0.032,8.545,-17.517,45.471,4.0,10.0,13.0,30.0,4.0
0.939,-0.094,0.076,7.690,-20.996,44.922,4.0,10.0,14.0,33.0,4.0
0.924,-0.086,0.090,3.174,-26.550,40.833,4.0,10.0,13.0,28.0,2.0
0.907,-0.060,0.105,0.427,-31.738,34.790,4.0,10.0,13.0,31.0,4.0
