aX,aY,aZ,gX,gY,gZ,Angle1,Angle2,Angle3,Angle4,Angle5
0.498,0.430,-0.776,-62.500,44.922,13.794,0.0,0.0,1.0,0.0,0.0
0.288,0.433,-0.979,-66.711,51.025,19.470,0.0,0.0,1.0,0.0,0.0
0.289,0.485,-1.004,-68.787,96.924,24.353,0.0,0.0,1.0,0.0,0.0
0.405,0.533,-0.906,-49.988,113.708,24.658,0.0,0.0,0.0,0.0,0.0
0.433,0.447,-0.785,-42.664,103.455,23.987,0.0,0.0,1.0,0.0,0.0
0.292,0.370,-0.823,-46.021,71.045,24.658,0.0,0.0,0.0,0.0,0.0
0.229,0.373,-0.853,-55.359,52.124,23.071,0.0,0.0,1.0,0.0,0.0
0.206,0.409,-0.853,-58.777,48.279,18.982,0.0,0.0,0.0,0.0,0.0
0.225,0.424,-0.794,-59.265,47.241,19.104,0.0,0.0,1.0,0.0,0.0
0.241,0.358,-0.765,-61.340,42.908,20.752,0.0,0.0,1.0,0.0,0.0
0.244,0.310,-0.776,-70.313,34.180,19.592,0.0,0.0,1.0,0.0,0.0
0.232,0.251,-0.855,-85.449,24.902,18.677,0.0,0.0,0.0,1.0,0.0
0.205,0.316,-0.913,-89.172,22.217,16.479,0.0,0.0,0.0,0.0,0.0
0.220,0.325,-0.927,-82.275,25.879,12.756,0.0,0.0,0.0,0.0,0.0
0.258,0.285,-0.920,-77.576,27.954,17.883,0.0,0.0,0.0,0.0,0.0
0.269,0.207,-0.958,-86.914,18.738,24.231,0.0,0.0,1.0,0.0,0.0
0.259,0.211,-1.012,-91.003,13.123,25.757,0.0,0.0,1.0,1.0,0.0
0.189,0.203,-1.102,-90.576,2.625,29.480,0.0,0.0,0.0,0.0,0.0
0.135,0.178,-1.165,-80.383,3.418,31.677,0.0,0.0,1.0,0.0,0.0
0.088,0.156,-1.242,-65.186,18.066,20.508,0.0,0.0,0.0,1.0,0.0
0.193,0.189,-1.202,-58.167,23.804,15.991,0.0,0.0,1.0,1.0,0.0
0.241,0.379,-1.436,-34.668,16.724,8.667,0.0,0.0,0.0,1.0,0.0
0.105,0.167,-1.633,43.701,-14.404,-6.348,0.0,0.0,1.0,0.0,0.0
0.123,-0.040,-1.395,18.005,-29.968,-4.944,0.0,0.0,1.0,1.0,0.0
-0.009,0.218,-1.201,-4.456,-22.400,-1.465,0.0,0.0,0.0,1.0,0.0
0.088,0.239,-1.077,-17.578,10.620,2.258,0.0,0.0,0.0,0.0,0.0
0.116,0.230,-1.104,-15.381,29.053,6.348,0.0,0.0,1.0,0.0,0.0
0.226,0.209,-1.181,0.732,29.358,8.545,0.0,0.0,0.0,1.0,0.0
0.273,0.209,-1.223,12.390,20.386,4.089,0.0,0.0,1.0,0.0,0.0
0.179,0.161,-1.264,37.720,-6.836,-8.118,0.0,0.0,1.0,0.0,0.0
0.126,0.147,-1.258,48.828,-22.217,-12.573,0.0,0.0,0.0,0.0,0.0
0.075,0.158,-1.207,53.894,-18.127,-14.099,0.0,0.0,1.0,0.0,0.0
0.099,0.180,-1.139,55.786,-15.015,-14.587,0.0,0.0,0.0,0.0,0.0
0.151,0.224,-1.062,61.218,-12.451,-18.005,0.0,0.0,1.0,0.0,0.0
0.173,0.240,-1.038,68.176,-15.503,-25.208,0.0,0.0,1.0,0.0,0.0
0.228,0.250,-1.004,66.162,-25.696,-25.269,0.0,0.0,1.0,1.0,0.0
0.241,0.282,-1.010,62.256,-32.898,-21.362,0.0,0.0,0.0,1.0,0.0
0.181,0.323,-1.025,61.768,-40.833,-14.526,0.0,0.0,0.0,0.0,0.0
0.168,0.325,-1.008,75.317,-33.081,-19.714,0.0,0.0,1.0,0.0,0.0
0.187,0.314,-0.955,85.144,-23.621,-29.236,0.0,0.0,0.0,0.0,0.0
0.240,0.349,-0.889,85.815,-21.545,-31.677,0.0,0.0,0.0,0.0,0.0
0.298,0.399,-0.853,80.200,-26.123,-29.907,0.0,0.0,1.0,0.0,0.0

0.925,0.848,-0.922,-43.823,-30.518,-88.196,0.0,0.0,1.0,0.0,0.0
1.310,0.796,-0.974,-20.752,52.246,-17.151,0.0,0.0,1.0,0.0,0.0
1.296,0.775,-0.917,-10.559,93.201,69.702,0.0,0.0,0.0,1.0,0.0
0.956,0.760,-0.639,27.344,64.209,90.942,0.0,0.0,0.0,1.0,0.0
0.485,0.643,-0.392,49.622,22.888,77.637,0.0,0.0,1.0,1.0,0.0
0.024,0.588,-0.375,60.791,-68.054,31.616,0.0,0.0,0.0,0.0,0.0
-0.067,0.621,-0.369,37.048,-101.562,-16.479,0.0,0.0,1.0,0.0,0.0
0.082,0.711,-0.263,17.578,-73.303,-43.213,0.0,0.0,0.0,0.0,0.0
0.489,0.690,-0.120,11.047,-49.805,-43.091,0.0,0.0,1.0,0.0,0.0
0.712,0.638,-0.094,-6.653,-14.893,-23.926,0.0,0.0,1.0,0.0,0.0
0.675,0.629,-0.142,-28.137,9.705,0.427,0.0,0.0,1.0,0.0,0.0
0.527,0.653,-0.204,-40.527,42.603,15.198,0.0,0.0,1.0,0.0,0.0
0.514,0.649,-0.114,-42.908,54.321,18.005,0.0,0.0,1.0,0.0,0.0
0.512,0.614,-0.086,-50.781,51.086,15.991,0.0,0.0,1.0,0.0,0.0
0.471,0.672,-0.130,-64.148,28.625,10.132,0.0,0.0,1.0,0.0,0.0
0.460,0.691,-0.127,-65.979,9.766,3.906,0.0,0.0,0.0,0.0,0.0
0.417,0.646,-0.113,-75.317,1.465,4.761,0.0,0.0,1.0,0.0,0.0
0.359,0.500,-0.275,-89.050,4.822,6.714,0.0,0.0,1.0,0.0,0.0
0.363,0.483,-0.577,-124.817,34.241,7.568,0.0,0.0,1.0,0.0,0.0
0.434,0.518,-0.696,-134.338,73.669,3.967,0.0,0.0,1.0,0.0,0.0
0.589,0.586,-0.809,-107.727,82.275,1.404,0.0,0.0,1.0,0.0,0.0
0.640,0.541,-0.856,-91.187,72.021,3.296,0.0,0.0,0.0,0.0,0.0
0.547,0.479,-0.892,-72.571,39.856,13.184,0.0,0.0,1.0,0.0,0.0
0.479,0.468,-0.912,-68.787,20.020,19.653,0.0,0.0,1.0,0.0,0.0
0.335,0.469,-1.018,-70.923,32.898,15.198,0.0,0.0,0.0,0.0,0.0
0.308,0.527,-1.014,-65.063,44.006,10.376,0.0,0.0,1.0,0.0,0.0
