aX,aY,aZ,gX,gY,gZ,Angle1,Angle2,Angle3,Angle4,Angle5
0.513,0.329,0.638,-39.673,-10.437,15.564,0.0,0.0,1.0,0.0,0.0
0.490,0.388,0.600,0.244,-51.270,-29.846,0.0,0.0,1.0,0.0,0.0
0.360,0.370,0.578,57.129,-70.374,-66.467,0.0,0.0,0.0,0.0,0.0
0.460,-0.095,0.885,69.153,-58.533,-65.674,0.0,0.0,1.0,0.0,0.0
0.691,-0.030,1.319,7.019,-15.198,7.141,0.0,0.0,0.0,0.0,0.0
0.462,0.108,1.151,-30.396,-0.549,12.817,0.0,0.0,1.0,1.0,0.0
0.482,0.147,0.956,-12.756,17.761,-1.465,0.0,0.0,0.0,0.0,0.0
0.506,0.077,0.824,-14.404,8.789,5.920,0.0,0.0,1.0,1.0,0.0
0.441,0.112,0.766,-27.710,6.104,23.621,0.0,0.0,1.0,1.0,0.0
0.503,0.223,0.783,-36.377,18.372,25.330,0.0,0.0,0.0,1.0,0.0
0.528,0.261,0.771,-28.748,19.775,20.630,0.0,0.0,1.0,1.0,0.0
0.530,0.289,0.743,-8.789,15.991,14.526,0.0,0.0,1.0,0.0,0.0
0.486,0.269,0.722,3.174,15.076,8.972,0.0,0.0,1.0,0.0,0.0
0.461,0.230,0.730,23.437,10.010,-6.409,0.0,0.0,0.0,0.0,0.0
0.431,0.206,0.749,32.776,-6.348,-20.508,0.0,0.0,0.0,0.0,0.0
0.381,0.150,0.833,31.250,-16.052,-24.414,0.0,0.0,1.0,1.0,0.0
0.312,0.105,0.909,14.893,-32.104,-24.902,0.0,0.0,0.0,0.0,0.0
0.349,0.139,1.014,-11.597,-19.348,-6.897,0.0,0.0,0.0,1.0,0.0
0.373,0.181,1.011,-25.879,22.583,12.573,0.0,0.0,0.0,0.0,0.0
0.504,0.179,0.969,-10.315,45.654,-2.502,0.0,0.0,0.0,0.0,0.0
0.687,0.112,0.994,-6.287,33.447,-11.475,0.0,0.0,1.0,0.0,0.0
0.621,0.111,0.953,-11.719,-10.376,-20.996,0.0,0.0,1.0,0.0,0.0
0.406,0.136,0.846,-18.616,-16.724,-20.203,0.0,0.0,0.0,0.0,0.0
0.358,0.160,0.828,-21.057,-8.789,-17.822,0.0,0.0,0.0,0.0,0.0
0.382,0.186,0.834,-24.719,5.981,-14.526,0.0,0.0,1.0,0.0,0.0
0.393,0.188,0.832,-24.597,12.085,-14.343,0.0,0.0,1.0,0.0,0.0
0.429,0.176,0.829,-24.597,16.541,-17.456,0.0,0.0,0.0,1.0,0.0
0.460,0.197,0.806,-24.048,18.555,-20.630,0.0,0.0,1.0,0.0,0.0
0.508,0.207,0.795,-18.738,25.391,-23.437,0.0,0.0,0.0,0.0,0.0
0.541,0.198,0.795,-13.428,28.809,-21.912,0.0,0.0,0.0,0.0,0.0
0.602,0.165,0.792,-12.878,27.588,-20.203,0.0,0.0,0.0,1.0,0.0
0.626,0.163,0.794,-17.700,21.057,-15.991,0.0,0.0,1.0,0.0,0.0
0.609,0.179,0.786,-22.766,11.597,-16.479,0.0,0.0,0.0,0.0,0.0
0.555,0.211,0.751,-19.836,11.108,-17.944,0.0,0.0,0.0,0.0,0.0
0.566,0.207,0.740,-17.029,14.954,-17.151,0.0,0.0,1.0,0.0,0.0
0.610,0.193,0.752,-13.794,20.508,-14.404,0.0,0.0,1.0,0.0,0.0
0.628,0.187,0.757,-12.573,17.517,-14.099,0.0,0.0,0.0,0.0,0.0
0.652,0.181,0.764,-13.306,11.841,-13.611,0.0,0.0,0.0,0.0,0.0
0.645,0.189,0.762,-14.709,10.193,-12.512,0.0,0.0,0.0,0.0,0.0
0.621,0.203,0.751,-15.930,10.559,-11.963,0.0,0.0,1.0,0.0,0.0
0.635,0.207,0.752,-13.794,13.550,-11.475,0.0,0.0,1.0,0.0,0.0
0.666,0.199,0.760,-13.123,10.742,-7.202,0.0,0.0,0.0,0.0,0.0
0.643,0.190,0.756,-13.367,8.179,-6.958,0.0,0.0,0.0,0.0,0.0
0.614,0.200,0.753,-13.367,2.502,-11.353,0.0,0.0,0.0,0.0,0.0
0.597,0.204,0.755,-12.451,-1.770,-14.038,0.0,0.0,0.0,0.0,0.0
0.563,0.207,0.754,-12.024,-2.014,-14.465,0.0,0.0,0.0,0.0,0.0
0.552,0.198,0.754,-12.451,0.122,-13.794,0.0,0.0,1.0,0.0,0.0
0.567,0.196,0.761,-14.954,5.005,-12.695,0.0,0.0,1.0,0.0,0.0
0.585,0.200,0.761,-18.066,6.775,-12.878,0.0,0.0,1.0,0.0,0.0
0.580,0.206,0.754,-20.386,4.639,-15.564,0.0,0.0,1.0,0.0,0.0
0.568,0.219,0.748,-18.677,3.357,-20.081,0.0,0.0,1.0,0.0,0.0
0.581,0.212,0.749,-17.151,2.502,-22.522,0.0,0.0,0.0,0.0,0.0
0.593,0.209,0.743,-15.198,-2.563,-26.978,0.0,0.0,0.0,0.0,0.0
0.599,0.211,0.706,-11.047,-7.446,-29.175,0.0,0.0,0.0,0.0,0.0
0.557,0.201,0.675,-7.263,-5.066,-28.748,0.0,0.0,1.0,0.0,0.0
0.574,0.191,0.691,-2.930,16.663,-24.475,0.0,0.0,1.0,0.0,0.0
0.662,0.189,0.718,-3.906,43.213,-19.043,0.0,0.0,2.0,0.0,0.0
0.845,0.153,0.775,-12.085,27.466,-14.771,0.0,0.0,1.0,0.0,0.0
0.767,0.200,0.750,-16.846,9.766,-16.296,0.0,0.0,0.0,0.0,0.0
0.664,0.205,0.700,-11.475,-6.226,-23.987,0.0,0.0,1.0,0.0,0.0
0.686,0.181,0.704,-5.066,2.258,-20.508,0.0,0.0,1.0,0.0,0.0
0.732,0.185,0.676,-4.150,7.629,-13.367,0.0,0.0,0.0,0.0,0.0
