aX,aY,aZ,gX,gY,gZ,Angle1,Angle2,Angle3,Angle4,Angle5
0.594,0.664,-0.380,-9.521,5.066,0.183,1.0,23.0,19.0,32.0,0.0
0.580,0.675,-0.437,-11.047,5.249,1.038,0.0,23.0,20.0,32.0,0.0
0.589,0.676,-0.473,-10.254,4.761,1.160,0.0,23.0,19.0,32.0,0.0
0.599,0.669,-0.484,-7.690,-1.770,2.319,0.0,22.0,19.0,32.0,0.0
0.583,0.669,-0.510,-8.057,-10.803,6.531,0.0,24.0,19.0,32.0,0.0
0.510,0.709,-0.538,-7.385,-11.963,7.385,0.0,23.0,19.0,34.0,0.0
0.502,0.718,-0.518,-2.563,-5.554,4.272,0.0,23.0,18.0,32.0,0.0
0.522,0.710,-0.497,1.770,0.366,-0.244,0.0,24.0,20.0,32.0,0.0
0.554,0.692,-0.464,2.686,-1.099,-0.854,0.0,23.0,19.0,31.0,0.0
0.569,0.683,-0.437,2.502,-3.235,-0.671,0.0,23.0,20.0,32.0,0.0
0.559,0.682,-0.426,0.610,-8.057,0.977,0.0,23.0,19.0,33.0,0.0
0.540,0.689,-0.430,-0.610,-8.484,0.610,0.0,23.0,18.0,32.0,0.0
0.532,0.687,-0.429,-0.183,-6.104,-1.038,0.0,22.0,18.0,32.0,0.0
0.556,0.683,-0.423,-1.038,0.000,-3.052,0.0,22.0,19.0,31.0,0.0
0.564,0.690,-0.430,-1.343,3.662,-2.686,0.0,23.0,19.0,31.0,0.0
0.583,0.685,-0.436,0.793,2.747,-2.747,0.0,24.0,19.0,31.0,0.0
0.584,0.674,-0.436,0.732,1.099,-1.770,0.0,23.0,20.0,33.0,0.0
0.562,0.687,-0.451,-0.793,-1.099,0.305,0.0,24.0,18.0,33.0,0.0
0.557,0.694,-0.457,-0.122,0.183,0.000,0.0,23.0,20.0,32.0,0.0
0.568,0.693,-0.458,0.916,0.732,-0.549,0.0,23.0,18.0,32.0,0.0
0.574,0.686,-0.454,1.465,0.305,-0.366,0.0,23.0,20.0,31.0,0.0
0.571,0.688,-0.456,0.488,0.000,0.244,0.0,23.0,20.0,32.0,0.0
0.572,0.690,-0.456,0.671,0.488,-0.183,1.0,23.0,19.0,31.0,0.0
0.581,0.684,-0.441,0.488,0.061,-0.183,0.0,23.0,20.0,30.0,0.0
0.579,0.685,-0.434,-0.122,-2.319,-0.122,0.0,23.0,18.0,32.0,0.0
0.577,0.685,-0.424,0.183,-5.554,-1.526,0.0,22.0,18.0,31.0,0.0
0.570,0.684,-0.426,-0.488,-6.470,-1.709,0.0,22.0,19.0,31.0,0.0
0.553,0.694,-0.444,-3.601,-2.991,1.587,0.0,22.0,19.0,31.0,0.0
0.553,0.698,-0.453,-6.104,5.066,4.822,0.0,23.0,18.0,31.0,0.0
0.564,0.715,-0.469,-4.456,7.019,4.211,1.0,23.0,18.0,31.0,0.0
0.563,0.708,-0.484,-1.587,5.554,3.174,0.0,24.0,19.0,30.0,0.0
0.563,0.680,-0.480,2.991,0.000,1.465,0.0,23.0,19.0,31.0,0.0
0.551,0.676,-0.482,4.028,-5.615,1.160,0.0,22.0,19.0,32.0,0.0
0.525,0.671,-0.474,4.822,-6.531,0.244,0.0,24.0,18.0,30.0,0.0
0.543,0.672,-0.448,5.432,-5.554,-1.221,0.0,23.0,18.0,31.0,0.0
0.550,0.676,-0.440,3.479,-4.395,0.183,0.0,23.0,18.0,30.0,0.0
0.546,0.691,-0.437,2.197,-1.648,0.488,0.0,23.0,18.0,32.0,0.0
0.557,0.695,-0.426,2.197,-0.183,0.000,0.0,22.0,19.0,32.0,0.0
0.566,0.691,-0.422,2.258,-0.488,-1.587,0.0,23.0,19.0,30.0,0.0
0.564,0.682,-0.423,2.258,-2.380,-1.404,0.0,23.0,18.0,31.0,0.0
0.560,0.682,-0.426,1.099,-1.892,-0.366,0.0,23.0,19.0,31.0,0.0
0.567,0.692,-0.431,-0.977,0.000,-0.549,0.0,23.0,19.0,33.0,0.0
0.571,0.689,-0.433,-1.343,-0.305,-1.404,0.0,23.0,20.0,32.0,0.0
0.561,0.697,-0.444,-0.061,0.183,-0.793,0.0,23.0,19.0,32.0,0.0
0.554,0.695,-0.445,1.282,1.282,-1.282,0.0,23.0,19.0,32.0,0.0
0.564,0.680,-0.441,2.319,2.747,-2.319,0.0,24.0,19.0,31.0,0.0
0.565,0.678,-0.442,0.732,1.648,-1.343,0.0,23.0,19.0,31.0,0.0
0.568,0.683,-0.446,-0.122,0.793,-0.732,0.0,22.0,18.0,31.0,0.0
0.567,0.690,-0.450,-1.099,-0.732,-0.061,0.0,22.0,20.0,31.0,0.0
0.563,0.690,-0.452,-1.099,-1.343,-0.427,0.0,23.0,20.0,31.0,0.0

0.642,0.703,-0.724,49.561,0.854,-24.658,0.0,24.0,19.0,32.0,0.0
0.815,0.680,-0.355,65.063,-22.156,-20.874,0.0,26.0,22.0,30.0,0.0
0.868,0.632,-0.065,52.734,-36.926,-3.479,0.0,28.0,21.0,33.0,0.0
0.906,0.583,0.546,29.480,-27.344,11.780,0.0,28.0,22.0,31.0,0.0
0.777,0.854,0.200,-11.963,2.258,28.320,0.0,26.0,20.0,32.0,0.0
0.745,0.777,0.031,-10.803,2.014,16.479,0.0,24.0,19.0,31.0,0.0
0.575,0.590,-0.161,-39.246,-10.193,23.987,0.0,23.0,19.0,32.0,0.0
0.246,0.633,-0.584,-50.171,-8.972,23.926,0.0,22.0,19.0,31.0,0.0
0.207,0.662,-0.990,-43.640,10.559,4.517,0.0,23.0,19.0,31.0,0.0
0.294,0.691,-1.096,-13.672,20.508,-13.855,0.0,23.0,19.0,32.0,0.0
0.464,0.731,-1.085,7.080,14.221,-18.188,0.0,24.0,18.0,32.0,0.0
0.592,0.701,-0.778,45.715,-10.437,-20.386,0.0,23.0,20.0,32.0,0.0
0.665,0.669,-0.515,57.983,-31.677,-12.756,0.0,25.0,21.0,36.0,0.0
0.764,0.578,0.178,29.541,-23.132,3.845,0.0,25.0,22.0,35.0,0.0
0.818,0.719,0.393,7.324,-6.775,11.353,0.0,24.0,21.0,33.0,0.0
0.834,0.767,0.034,-10.925,3.906,10.132,0.0,24.0,19.0,31.0,0.0
0.763,0.686,-0.092,-21.912,-14.099,14.954,0.0,22.0,21.0,33.0,0.0
0.500,0.637,-0.365,-32.043,-14.893,18.860,0.0,23.0,20.0,31.0,0.0
0.436,0.676,-0.623,-39.551,10.132,12.390,0.0,23.0,19.0,32.0,0.0
0.498,0.689,-0.687,-26.306,32.532,3.235,0.0,23.0,19.0,31.0,0.0
0.640,0.682,-0.693,-16.968,30.273,3.296,1.0,22.0,19.0,33.0,0.0
0.633,0.693,-0.645,-2.747,1.648,9.216,0.0,23.0,20.0,32.0,0.0
0.490,0.718,-0.587,4.944,-25.513,12.634,0.0,23.0,19.0,31.0,0.0
0.451,0.728,-0.537,10.254,-25.635,8.850,0.0,22.0,19.0,32.0,0.0
0.443,0.717,-0.420,11.719,-20.691,6.104,0.0,23.0,19.0,30.0,0.0
0.471,0.700,-0.338,10.498,-10.254,1.038,0.0,22.0,19.0,31.0,0.0
0.490,0.695,-0.313,5.920,-3.906,-4.211,0.0,23.0,18.0,31.0,0.0
0.529,0.683,-0.289,-2.136,-2.258,-5.615,0.0,23.0,19.0,30.0,0.0
0.538,0.702,-0.328,-5.676,-1.831,-5.127,0.0,23.0,18.0,31.0,0.0
0.559,0.696,-0.368,-7.996,0.122,-5.737,0.0,23.0,19.0,31.0,0.0
0.573,0.690,-0.382,-8.240,2.686,-6.592,0.0,22.0,18.0,32.0,0.0
0.594,0.682,-0.404,-8.118,3.662,-6.409,0.0,22.0,19.0,33.0,0.0
0.596,0.669,-0.414,-7.019,4.761,-4.517,0.0,23.0,19.0,30.0,0.0
0.588,0.667,-0.413,-5.798,5.188,-2.380,0.0,22.0,18.0,31.0,0.0
0.586,0.667,-0.409,-5.188,4.761,-1.587,0.0,23.0,20.0,30.0,0.0
0.593,0.670,-0.404,-5.737,4.333,-1.038,0.0,22.0,18.0,31.0,0.0
0.585,0.686,-0.419,-7.568,3.235,0.122,0.0,22.0,18.0,30.0,0.0
0.585,0.692,-0.425,-6.470,4.150,0.549,0.0,22.0,19.0,31.0,0.0
0.593,0.690,-0.429,-6.531,4.517,0.732,0.0,23.0,18.0,31.0,0.0
0.587,0.703,-0.447,-6.775,4.517,1.099,0.0,22.0,18.0,32.0,0.0
0.587,0.696,-0.463,-5.798,4.456,1.404,0.0,23.0,18.0,31.0,0.0
0.584,0.694,-0.472,-6.836,3.418,1.282,0.0,23.0,18.0,30.0,0.0
0.582,0.707,-0.492,-5.249,1.953,0.732,0.0,23.0,18.0,31.0,0.0
0.590,0.688,-0.493,-3.479,-0.366,0.061,1.0,23.0,19.0,32.0,0.0
0.576,0.680,-0.485,-2.563,-4.395,0.610,0.0,23.0,18.0,31.0,0.0
