aX,aY,aZ,gX,gY,gZ,Angle1,Angle2,Angle3,Angle4,Angle5
914,-122,-276,-43.335,122,-1.099,5.0,16.0,18.0,35.0,7.0
893,-94,-370,-50.903,1.709,1.221,5.0,16.0,18.0,34.0,8.0
897,-83,-406,-44.312,9.033,-4.272,5.0,17.0,18.0,36.0,7.0
938,-77,-439,-34.729,2.258,-9.705,6.0,16.0,18.0,36.0,8.0
927,-63,-451,-30.396,-2.319,-11.780,6.0,15.0,17.0,36.0,8.0
892,-72,-450,-21.851,-5.493,-12.146,6.0,16.0,18.0,34.0,8.0
911,-92,-462,-15.320,2.197,-10.071,6.0,16.0,17.0,36.0,8.0
952,-107,-465,-8.423,8.240,-7.324,5.0,16.0,18.0,36.0,7.0
982,-117,-462,-5.432,6.714,-6.104,6.0,16.0,18.0,35.0,7.0
966,-119,-441,549,916,-5.249,6.0,16.0,18.0,35.0,8.0
949,-107,-416,5.615,1.038,-3.235,6.0,16.0,17.0,37.0,6.0
959,-110,-385,12.878,3.296,-1.648,6.0,15.0,18.0,34.0,8.0
965,-123,-317,14.709,2.808,-1.038,5.0,16.0,18.0,36.0,8.0
954,-116,-272,13.245,1.953,793,6.0,15.0,17.0,35.0,8.0
949,-117,-264,10.132,2.563,2.991,6.0,16.0,18.0,36.0,7.0
946,-119,-273,7.996,2.075,2.319,6.0,16.0,17.0,37.0,7.0
916,-117,-321,7.568,2.319,2.136,6.0,16.0,17.0,36.0,8.0
903,-118,-376,8.057,7.385,3.723,6.0,16.0,18.0,37.0,8.0
896,-114,-402,11.597,14.221,6.104,6.0,16.0,18.0,36.0,7.0

1.749,-271,-116,-68.604,-65.186,-89.416,5.0,16.0,18.0,36.0,6.0
1.851,-111,-505,-61.096,-37.537,-45.837,5.0,16.0,18.0,36.0,7.0
1.834,-68,-620,1.526,8.728,13.733,5.0,16.0,17.0,35.0,7.0
1.603,-37,-593,64.819,37.537,62.378,5.0,16.0,18.0,36.0,7.0
1.182,-36,-330,82.703,39.429,76.904,5.0,15.0,18.0,35.0,7.0
794,-83,-27,85.693,25.085,77.759,5.0,15.0,18.0,36.0,7.0
685,-102,98,53.345,-5.737,39.490,6.0,15.0,18.0,35.0,7.0
578,-85,248,30.518,-25.513,14.526,6.0,16.0,17.0,36.0,7.0
584,-59,271,-9.033,-53.955,-28.687,5.0,15.0,18.0,38.0,7.0
741,-93,259,-29.785,-45.959,-49.194,5.0,16.0,18.0,35.0,6.0
890,-134,226,-45.471,-10.803,-41.077,5.0,15.0,17.0,36.0,6.0
1.184,-158,6,-52.002,6.592,-31.006,5.0,17.0,18.0,34.0,7.0
1.373,-69,-253,-48.462,27.649,-9.705,6.0,16.0,18.0,35.0,7.0
1.292,14,-345,-23.743,29.663,14.404,6.0,15.0,18.0,36.0,6.0
1.197,27,-309,0,29.297,30.090,6.0,15.0,17.0,36.0,7.0
1.051,3,-156,4.211,28.870,32.043,5.0,15.0,17.0,36.0,6.0
971,-31,-33,-6.165,19.470,27.100,5.0,16.0,17.0,35.0,7.0
927,-30,-16,-30.701,0,17.334,5.0,16.0,19.0,36.0,6.0
831,14,-74,-39.795,-9.399,11.414,6.0,16.0,18.0,36.0,6.0
759,49,-178,-42.419,-18.616,-671,5.0,15.0,17.0,37.0,6.0
782,27,-224,-35.095,-12.634,-5.798,5.0,15.0,18.0,35.0,6.0
785,5,-234,-28.381,-2.563,-6.287,5.0,16.0,17.0,36.0,6.0
787,-13,-260,-25.757,4.028,-6.958,5.0,15.0,17.0,37.0,6.0
839,-22,-258,-20.508,16.113,-6.653,6.0,16.0,17.0,37.0,7.0
865,-43,-245,-14.648,16.968,-6.836,5.0,16.0,17.0,36.0,6.0
907,-90,-231,-13.184,11.353,-13.000,5.0,15.0,19.0,36.0,8.0
899,-82,-248,-13.428,10.193,-17.212,6.0,16.0,18.0,37.0,6.0
919,-73,-251,-12.268,20.325,-18.494,6.0,16.0,17.0,38.0,6.0
951,-90,-239,-11.292,36.255,-10.498,5.0,15.0,18.0,36.0,7.0
1.035,-145,-226,-15.442,38.330,-5.005,5.0,16.0,18.0,35.0,7.0
1.070,-149,-280,-19.348,34.607,-3.540,5.0,16.0,18.0,36.0,7.0
1.025,-118,-333,-23.743,27.649,793,6.0,15.0,16.0,35.0,7.0
1.000,-113,-332,-21.790,29.053,3.540,5.0,15.0,17.0,36.0,8.0
1.004,-123,-282,-21.851,25.574,3.540,5.0,15.0,17.0,36.0,7.0
1.007,-149,-273,-23.560,21.118,1.526,4.0,15.0,18.0,37.0,7.0
1.026,-149,-271,-29.968,10.132,-2.258,6.0,15.0,18.0,35.0,7.0
1.026,-145,-271,-37.231,-2.563,-1.282,5.0,16.0,19.0,35.0,6.0
991,-120,-289,-39.917,-7.141,1.038,6.0,15.0,18.0,36.0,8.0
954,-105,-338,-37.781,-10.254,3.906,5.0,16.0,18.0,34.0,7.0
940,-101,-357,-31.128,-4.944,5.188,5.0,16.0,18.0,35.0,8.0
933,-88,-349,-23.743,4.272,6.470,6.0,15.0,17.0,35.0,7.0
939,-109,-294,-20.996,7.874,6.653,5.0,16.0,18.0,36.0,6.0
957,-127,-260,-22.461,10.742,6.531,5.0,16.0,17.0,36.0,7.0
964,-127,-264,-27.588,6.409,7.202,5.0,16.0,17.0,36.0,7.0
952,-112,-298,-28.564,488,7.202,5.0,15.0,18.0,35.0,7.0
